phi,theta
-1.0252E-06,0.12816
-8.4301E-07,0.12852
-6.6576E-07,0.12888
-4.9335E-07,0.12923
-3.2569E-07,0.12959
-1.6268E-07,0.12995
-4.2304E-09,0.1303
1.4975E-07,0.13066
2.9936E-07,0.13102
4.4468E-07,0.13137
5.858E-07,0.13173
7.2281E-07,0.13209
8.5579E-07,0.13244
9.8483E-07,0.1328
1.11E-06,0.13315
1.2314E-06,0.13351
1.3491E-06,0.13387
1.4632E-06,0.13422
1.5738E-06,0.13458
1.6808E-06,0.13494
1.7845E-06,0.13529
1.8849E-06,0.13565
1.9821E-06,0.13601
2.0761E-06,0.13636
2.167E-06,0.13672
2.2548E-06,0.13708
2.3398E-06,0.13743
2.4218E-06,0.13779
2.501E-06,0.13814
2.5775E-06,0.1385
2.6512E-06,0.13886
2.7224E-06,0.13921
2.791E-06,0.13957
2.857E-06,0.13993
2.9207E-06,0.14028
2.9819E-06,0.14064
3.0409E-06,0.141
3.0975E-06,0.14135
3.152E-06,0.14171
3.2043E-06,0.14207
3.2545E-06,0.14242
3.3026E-06,0.14278
3.3488E-06,0.14314
3.393E-06,0.14349
3.4353E-06,0.14385
3.4758E-06,0.1442
3.5144E-06,0.14456
3.5514E-06,0.14492
3.5866E-06,0.14527
3.6201E-06,0.14563
3.6521E-06,0.14599
3.6825E-06,0.14634
3.7113E-06,0.1467
3.7387E-06,0.14706
3.7646E-06,0.14741
3.7892E-06,0.14777
3.8124E-06,0.14813
3.8342E-06,0.14848
3.8548E-06,0.14884
3.8741E-06,0.1492
3.8922E-06,0.14955
3.9091E-06,0.14991
3.9249E-06,0.15027
3.9396E-06,0.15062
3.9532E-06,0.15098
3.9658E-06,0.15134
3.9774E-06,0.15169
3.988E-06,0.15205
3.9976E-06,0.15241
4.0064E-06,0.15276
4.0142E-06,0.15312
4.0212E-06,0.15348
4.0274E-06,0.15383
4.0328E-06,0.15419
4.0374E-06,0.15454
4.0412E-06,0.1549
4.0443E-06,0.15526
4.0468E-06,0.15561
4.0485E-06,0.15597
4.0496E-06,0.15633
4.0501E-06,0.15668
4.05E-06,0.15704
4.0493E-06,0.1574
4.048E-06,0.15775
4.0462E-06,0.15811
4.0439E-06,0.15847
4.0411E-06,0.15882
4.0378E-06,0.15918
4.0341E-06,0.15954
4.0299E-06,0.15989
4.0253E-06,0.16025
4.0203E-06,0.16061
4.0149E-06,0.16096
4.0091E-06,0.16132
4.003E-06,0.16168
3.9965E-06,0.16203
3.9897E-06,0.16239
3.9826E-06,0.16275
3.9753E-06,0.1631
3.9676E-06,0.16346
3.9597E-06,0.16382
3.9515E-06,0.16417
3.9431E-06,0.16453
3.9345E-06,0.16489
3.9256E-06,0.16524
3.9166E-06,0.1656
3.9073E-06,0.16596
3.8979E-06,0.16631
3.8883E-06,0.16667
3.8786E-06,0.16703
3.8687E-06,0.16738
3.8587E-06,0.16774
3.8485E-06,0.1681
3.8383E-06,0.16845
3.8279E-06,0.16881
3.8175E-06,0.16917
3.8069E-06,0.16952
3.7963E-06,0.16988
3.7856E-06,0.17024
3.7748E-06,0.17059
3.7639E-06,0.17095
3.7531E-06,0.17131
3.7421E-06,0.17166
3.7312E-06,0.17202
3.7202E-06,0.17238
3.7092E-06,0.17273
3.6981E-06,0.17309
3.6871E-06,0.17345
3.676E-06,0.17381
3.665E-06,0.17416
3.6539E-06,0.17452
3.6429E-06,0.17488
3.6319E-06,0.17523
3.6209E-06,0.17559
3.6099E-06,0.17595
3.599E-06,0.1763
3.588E-06,0.17666
3.5772E-06,0.17702
3.5663E-06,0.17737
3.5555E-06,0.17773
3.5448E-06,0.17809
3.5341E-06,0.17844
3.5234E-06,0.1788
3.5129E-06,0.17916
3.5023E-06,0.17951
3.4919E-06,0.17987
3.4815E-06,0.18023
3.4712E-06,0.18058
3.4609E-06,0.18094
3.4507E-06,0.1813
3.4406E-06,0.18165
3.4306E-06,0.18201
3.4206E-06,0.18237
3.4108E-06,0.18272
3.401E-06,0.18308
3.3913E-06,0.18344
3.3817E-06,0.1838
3.3722E-06,0.18415
3.3627E-06,0.18451
3.3534E-06,0.18487
3.3441E-06,0.18522
3.335E-06,0.18558
3.3259E-06,0.18594
3.3169E-06,0.18629
3.308E-06,0.18665
3.2992E-06,0.18701
3.2906E-06,0.18736
3.282E-06,0.18772
3.2735E-06,0.18808
3.2651E-06,0.18843
3.2568E-06,0.18879
3.2486E-06,0.18915
3.2405E-06,0.1895
3.2325E-06,0.18986
3.2246E-06,0.19022
3.2168E-06,0.19058
3.2091E-06,0.19093
3.2015E-06,0.19129
3.194E-06,0.19165
3.1866E-06,0.192
3.1793E-06,0.19236
3.1721E-06,0.19272
3.165E-06,0.19307
3.158E-06,0.19343
3.1511E-06,0.19379
3.1443E-06,0.19414
3.1376E-06,0.1945
3.131E-06,0.19486
3.1244E-06,0.19521
3.118E-06,0.19557
3.1117E-06,0.19593
3.1055E-06,0.19629
3.0994E-06,0.19664
3.0933E-06,0.197
3.0874E-06,0.19736
3.0815E-06,0.19771
3.0758E-06,0.19807
3.0701E-06,0.19843
3.0646E-06,0.19878
3.0591E-06,0.19914
3.0537E-06,0.1995
3.0484E-06,0.19985
3.0432E-06,0.20021
3.0381E-06,0.20057
3.033E-06,0.20093
3.0281E-06,0.20128
3.0232E-06,0.20164
3.0184E-06,0.202
3.0137E-06,0.20235
3.0091E-06,0.20271
3.0046E-06,0.20307
3.0001E-06,0.20342
2.9958E-06,0.20378
2.9915E-06,0.20414
2.9873E-06,0.20449
2.9831E-06,0.20485
2.9791E-06,0.20521
2.9751E-06,0.20557
2.9712E-06,0.20592
2.9674E-06,0.20628
2.9636E-06,0.20664
2.9599E-06,0.20699
2.9563E-06,0.20735
2.9528E-06,0.20771
2.9493E-06,0.20806
2.9459E-06,0.20842
2.9426E-06,0.20878
2.9393E-06,0.20914
2.9361E-06,0.20949
2.933E-06,0.20985
2.9299E-06,0.21021
2.9269E-06,0.21056
2.924E-06,0.21092
2.9211E-06,0.21128
2.9183E-06,0.21163
2.9155E-06,0.21199
2.9128E-06,0.21235
2.9102E-06,0.21271
2.9076E-06,0.21306
2.905E-06,0.21342
2.9026E-06,0.21378
2.9001E-06,0.21413
2.8978E-06,0.21449
2.8955E-06,0.21485
2.8932E-06,0.2152
2.891E-06,0.21556
2.8888E-06,0.21592
2.8867E-06,0.21628
2.8847E-06,0.21663
2.8827E-06,0.21699
2.8807E-06,0.21735
2.8788E-06,0.2177
2.8769E-06,0.21806
2.8751E-06,0.21842
2.8733E-06,0.21877
2.8716E-06,0.21913
2.8699E-06,0.21949
2.8682E-06,0.21985
2.8666E-06,0.2202
2.865E-06,0.22056
2.8635E-06,0.22092
2.862E-06,0.22127
2.8606E-06,0.22163
2.8591E-06,0.22199
2.8578E-06,0.22234
2.8564E-06,0.2227
2.8551E-06,0.22306
2.8538E-06,0.22342
2.8526E-06,0.22377
2.8514E-06,0.22413
2.8502E-06,0.22449
2.8491E-06,0.22484
2.848E-06,0.2252
2.8469E-06,0.22556
2.8459E-06,0.22592
2.8448E-06,0.22627
2.8438E-06,0.22663
2.8429E-06,0.22699
2.842E-06,0.22734
2.8411E-06,0.2277
2.8402E-06,0.22806
2.8393E-06,0.22842
2.8385E-06,0.22877
2.8377E-06,0.22913
2.8369E-06,0.22949
2.8362E-06,0.22984
2.8355E-06,0.2302
2.8347E-06,0.23056
2.8341E-06,0.23092
2.8334E-06,0.23127
2.8328E-06,0.23163
2.8322E-06,0.23199
2.8316E-06,0.23234
2.831E-06,0.2327
2.8304E-06,0.23306
2.8299E-06,0.23342
2.8294E-06,0.23377
2.8289E-06,0.23413
2.8284E-06,0.23449
2.8279E-06,0.23484
2.8275E-06,0.2352
2.8271E-06,0.23556
2.8266E-06,0.23592
2.8262E-06,0.23627
2.8259E-06,0.23663
2.8255E-06,0.23699
2.8251E-06,0.23734
2.8248E-06,0.2377
2.8245E-06,0.23806
2.8242E-06,0.23842
2.8239E-06,0.23877
2.8236E-06,0.23913
2.8233E-06,0.23949
2.8231E-06,0.23984
2.8228E-06,0.2402
2.8226E-06,0.24056
2.8224E-06,0.24092
2.8221E-06,0.24127
2.8219E-06,0.24163
2.8218E-06,0.24199
2.8216E-06,0.24234
2.8214E-06,0.2427
2.8212E-06,0.24306
2.8211E-06,0.24342
2.821E-06,0.24377
2.8208E-06,0.24413
2.8207E-06,0.24449
2.8206E-06,0.24484
2.8205E-06,0.2452
2.8204E-06,0.24556
2.8203E-06,0.24592
2.8202E-06,0.24627
2.8201E-06,0.24663
2.82E-06,0.24699
2.82E-06,0.24734
2.8199E-06,0.2477
2.8199E-06,0.24806
2.8198E-06,0.24842
2.8198E-06,0.24877
2.8198E-06,0.24913
2.8197E-06,0.24949
2.8197E-06,0.24985
2.8197E-06,0.2502
2.8197E-06,0.25056
2.8197E-06,0.25092
2.8197E-06,0.25127
2.8197E-06,0.25163
2.8197E-06,0.25199
2.8197E-06,0.25235
2.8197E-06,0.2527
2.8197E-06,0.25306
2.8197E-06,0.25342
2.8198E-06,0.25378
2.8198E-06,0.25413
2.8198E-06,0.25449
2.8199E-06,0.25485
2.8199E-06,0.2552
2.82E-06,0.25556
2.82E-06,0.25592
2.82E-06,0.25628
2.8201E-06,0.25663
2.8201E-06,0.25699
2.8202E-06,0.25735
2.8203E-06,0.25771
2.8203E-06,0.25806
2.8204E-06,0.25842
2.8204E-06,0.25878
2.8205E-06,0.25913
2.8206E-06,0.25949
2.8207E-06,0.25985
2.8207E-06,0.26021
2.8208E-06,0.26056
2.8209E-06,0.26092
2.8209E-06,0.26128
2.821E-06,0.26164
2.8211E-06,0.26199
2.8212E-06,0.26235
2.8213E-06,0.26271
2.8213E-06,0.26306
2.8214E-06,0.26342
2.8215E-06,0.26378
2.8216E-06,0.26414
2.8217E-06,0.26449
2.8218E-06,0.26485
2.8219E-06,0.26521
2.8219E-06,0.26557
2.822E-06,0.26592
2.8221E-06,0.26628
2.8222E-06,0.26664
2.8223E-06,0.267
2.8224E-06,0.26735
2.8225E-06,0.26771
2.8226E-06,0.26807
2.8226E-06,0.26842
2.8227E-06,0.26878
2.8228E-06,0.26914
2.8229E-06,0.2695
2.823E-06,0.26985
2.8231E-06,0.27021
2.8232E-06,0.27057
2.8233E-06,0.27093
2.8234E-06,0.27128
2.8235E-06,0.27164
2.8235E-06,0.272
2.8236E-06,0.27236
2.8237E-06,0.27271
2.8238E-06,0.27307
2.8239E-06,0.27343
2.824E-06,0.27378
2.8241E-06,0.27414
2.8242E-06,0.2745
2.8242E-06,0.27486
2.8243E-06,0.27521
2.8244E-06,0.27557
2.8245E-06,0.27593
2.8246E-06,0.27629
2.8247E-06,0.27664
2.8248E-06,0.277
2.8248E-06,0.27736
2.8249E-06,0.27772
2.825E-06,0.27807
2.8251E-06,0.27843
2.8252E-06,0.27879
2.8253E-06,0.27915
2.8253E-06,0.2795
2.8254E-06,0.27986
2.8255E-06,0.28022
2.8256E-06,0.28058
2.8257E-06,0.28093
2.8257E-06,0.28129
2.8258E-06,0.28165
2.8259E-06,0.28201
2.826E-06,0.28236
2.826E-06,0.28272
2.8261E-06,0.28308
2.8262E-06,0.28343
2.8263E-06,0.28379
2.8263E-06,0.28415
2.8264E-06,0.28451
2.8265E-06,0.28486
2.8266E-06,0.28522
2.8266E-06,0.28558
2.8267E-06,0.28594
2.8268E-06,0.28629
2.8268E-06,0.28665
2.8269E-06,0.28701
2.827E-06,0.28737
2.827E-06,0.28772
2.8271E-06,0.28808
2.8272E-06,0.28844
2.8272E-06,0.2888
2.8273E-06,0.28915
2.8274E-06,0.28951
2.8274E-06,0.28987
2.8275E-06,0.29023
2.8275E-06,0.29058
2.8276E-06,0.29094
2.8277E-06,0.2913
2.8277E-06,0.29166
2.8278E-06,0.29201
2.8278E-06,0.29237
2.8279E-06,0.29273
2.828E-06,0.29309
2.828E-06,0.29344
2.8281E-06,0.2938
2.8281E-06,0.29416
2.8282E-06,0.29452
2.8282E-06,0.29487
2.8283E-06,0.29523
2.8283E-06,0.29559
2.8284E-06,0.29595
2.8284E-06,0.2963
2.8285E-06,0.29666
2.8285E-06,0.29702
2.8286E-06,0.29738
2.8286E-06,0.29773
2.8287E-06,0.29809
2.8287E-06,0.29845
2.8288E-06,0.29881
2.8288E-06,0.29916
2.8289E-06,0.29952
2.8289E-06,0.29988
2.829E-06,0.30024
2.829E-06,0.30059
2.8291E-06,0.30095
2.8291E-06,0.30131
2.8291E-06,0.30167
2.8292E-06,0.30202
2.8292E-06,0.30238
2.8293E-06,0.30274
2.8293E-06,0.3031
2.8294E-06,0.30345
2.8294E-06,0.30381
2.8294E-06,0.30417
2.8295E-06,0.30453
2.8295E-06,0.30489
2.8296E-06,0.30524
2.8296E-06,0.3056
2.8296E-06,0.30596
2.8297E-06,0.30632
2.8297E-06,0.30667
2.8297E-06,0.30703
2.8298E-06,0.30739
2.8298E-06,0.30775
2.8298E-06,0.3081
2.8299E-06,0.30846
2.8299E-06,0.30882
2.83E-06,0.30918
2.83E-06,0.30953
2.83E-06,0.30989
2.8301E-06,0.31025
2.8301E-06,0.31061
2.8301E-06,0.31096
2.8302E-06,0.31132
2.8302E-06,0.31168
2.8302E-06,0.31204
2.8302E-06,0.31239
2.8303E-06,0.31275
2.8303E-06,0.31311
2.8303E-06,0.31347
2.8304E-06,0.31383
2.8304E-06,0.31418
2.8304E-06,0.31454
2.8305E-06,0.3149
2.8305E-06,0.31526
2.8305E-06,0.31561
2.8305E-06,0.31597
2.8306E-06,0.31633
2.8306E-06,0.31669
2.8306E-06,0.31704
2.8307E-06,0.3174
2.8307E-06,0.31776
2.8307E-06,0.31812
2.8307E-06,0.31847
2.8308E-06,0.31883
2.8308E-06,0.31919
2.8308E-06,0.31955
2.8308E-06,0.31991
2.8309E-06,0.32026
2.8309E-06,0.32062
2.8309E-06,0.32098
2.8309E-06,0.32134
2.831E-06,0.32169
2.831E-06,0.32205
2.831E-06,0.32241
2.831E-06,0.32277
2.8311E-06,0.32312
2.8311E-06,0.32348
2.8311E-06,0.32384
2.8311E-06,0.3242
2.8311E-06,0.32455
2.8312E-06,0.32491
2.8312E-06,0.32527
2.8312E-06,0.32563
2.8312E-06,0.32599
2.8313E-06,0.32634
2.8313E-06,0.3267
2.8313E-06,0.32706
2.8313E-06,0.32742
2.8313E-06,0.32777
2.8314E-06,0.32813
2.8314E-06,0.32849
2.8314E-06,0.32885
2.8314E-06,0.32921
2.8315E-06,0.32956
2.8315E-06,0.32992
2.8315E-06,0.33028
2.8315E-06,0.33064
2.8315E-06,0.33099
2.8316E-06,0.33135
2.8316E-06,0.33171
2.8316E-06,0.33207
2.8316E-06,0.33242
2.8316E-06,0.33278
2.8317E-06,0.33314
