phi,theta
0.035235,-24.793
0.035235,-24.789
0.035235,-24.786
0.035235,-24.782
0.035235,-24.778
0.035235,-24.774
0.035235,-24.77
0.035235,-24.766
0.035235,-24.762
0.035235,-24.758
0.035235,-24.754
0.035235,-24.75
0.035235,-24.746
0.035235,-24.742
0.035235,-24.738
0.035235,-24.735
0.035235,-24.731
0.035235,-24.727
0.035235,-24.723
0.035235,-24.719
0.035235,-24.715
0.035235,-24.711
0.035235,-24.707
0.035235,-24.703
0.035235,-24.699
0.035235,-24.695
0.035235,-24.691
0.035235,-24.686
0.035235,-24.682
0.035235,-24.678
0.035235,-24.674
0.035235,-24.67
0.035235,-24.666
0.035235,-24.662
0.035236,-24.658
0.035236,-24.654
0.035236,-24.65
0.035236,-24.646
0.035236,-24.642
0.035236,-24.638
0.035236,-24.633
0.035236,-24.629
0.035236,-24.625
0.035236,-24.621
0.035236,-24.617
0.035236,-24.613
0.035236,-24.609
0.035236,-24.605
0.035236,-24.6
0.035236,-24.596
0.035236,-24.592
0.035236,-24.588
0.035236,-24.584
0.035236,-24.579
0.035236,-24.575
0.035236,-24.571
0.035236,-24.567
0.035236,-24.563
0.035236,-24.558
0.035236,-24.554
0.035236,-24.55
0.035236,-24.546
0.035236,-24.541
0.035236,-24.537
0.035236,-24.533
0.035236,-24.529
0.035236,-24.524
0.035236,-24.52
0.035236,-24.516
0.035236,-24.512
0.035236,-24.507
0.035236,-24.503
0.035236,-24.499
0.035236,-24.494
0.035237,-24.49
0.035237,-24.486
0.035237,-24.481
0.035237,-24.477
0.035237,-24.473
0.035237,-24.468
0.035237,-24.464
0.035237,-24.46
0.035237,-24.455
0.035237,-24.451
0.035237,-24.447
0.035237,-24.442
0.035237,-24.438
0.035237,-24.433
0.035237,-24.429
0.035237,-24.425
0.035237,-24.42
0.035237,-24.416
0.035237,-24.411
0.035237,-24.407
0.035237,-24.402
0.035237,-24.398
0.035237,-24.394
0.035237,-24.389
0.035237,-24.385
0.035237,-24.38
0.035237,-24.376
0.035237,-24.371
0.035237,-24.367
0.035237,-24.362
0.035237,-24.358
0.035237,-24.353
0.035237,-24.349
0.035237,-24.344
0.035237,-24.34
0.035237,-24.335
0.035237,-24.331
0.035237,-24.326
0.035238,-24.321
0.035238,-24.317
